 	Area	X	Y
1	12	1954.833	7.250
2	9	1832.389	9.722
3	24	1879.750	17.167
4	27	1849.722	19.685
5	11	1934.500	26.591
6	28	1893.036	38.571
7	33	1829.803	43.167
8	30	1879.833	44.900
9	11	1935.045	45.318
10	15	1924.633	56.033
11	22	1892.591	64.045
12	34	1924.382	69.765
13	35	1845.243	76.700
14	17	1922.735	89.853
15	47	1875.457	104.479
16	19	1834.868	105.237
17	16	1916.750	111.875
18	15	1884.767	124.700
19	30	1908.733	125.467
20	41	1829.622	161.134
21	18	1841.778	161.111
22	14	1913.286	162.500
23	23	1857.152	169.717
24	44	1889.045	179.023
25	32	1863.594	188.625
26	28	1833.536	193
27	46	1918.848	204.022
28	9	1861.722	208.722
29	5	1872.300	211.900
30	30	1812.667	223.267
31	5	1882.900	224.300
32	27	1842.426	228.204
33	15	1850.833	244.833
34	11	1870.136	246.773
35	30	1790.800	258.200
36	43	1899.640	265.314
37	11	1867.045	274.682
38	12	1802	284.167
39	24	1794.667	287.833
40	10	1780.600	293.300
41	4	1883.500	292.250
42	18	1888.444	295.056
43	20	1786.250	302.800
44	4	1799.500	305.250
45	31	1839.242	319.145
46	24	1815.458	322
47	11	1775.409	323.864
48	20	1875.850	337.500
49	32	1854.719	344.062
50	6	1816.167	356.667
51	40	1847.950	363.650
52	39	1786.474	367.526
53	9	1889.611	369.278
54	10	1836	370.800
55	5	1761.900	371.900
56	39	1872.756	376.269
57	20	1801.600	381.950
58	31	1828.210	382.435
59	19	1882.658	404.711
60	7	1803.500	418.500
61	41	1766.866	421.866
62	47	1812.904	439.011
63	33	1750.045	443.742
64	25	1853.220	449.420
65	26	1826.385	458.423
66	16	1807.562	465.062
67	20	1827	471.350
68	15	1842.767	472.967
69	33	1746.379	482.894
70	30	1764.800	491
71	39	1784.295	508.090
72	39	1755.064	527.500
73	7	1837.214	524.643
74	39	1812.295	546.654
75	41	1839.427	550.232
76	31	1763.306	552.210
77	25	1751.900	584.620
78	24	1805.417	585.750
79	34	1725.471	588.794
80	19	1762.816	589.553
81	19	1846.658	592.184
82	25	1790.260	593.940
83	25	1813.140	594.460
84	28	1800.857	608.679
85	6	1843.500	611.333
86	20	1756.950	623.400
87	5	1802.100	636.300
88	21	1830.643	642.500
89	31	1756.016	646.984
90	20	1767.550	658.450
91	15	1833.833	657.567
92	16	1783.812	658.312
93	22	1789.545	671.227
94	46	1803.239	684.370
95	26	1758.923	701.731
96	30	1766.500	712.067
97	38	1720.789	714.368
98	34	1819.471	722.265
99	21	1770.833	730.357
100	30	1732.500	754.933
101	22	1693.955	761.591
102	15	1745.433	764.500
103	27	1765.796	766.685
104	14	1686.214	768.929
105	38	1804.105	775.053
106	18	1754.389	778.833
107	19	1721.500	779.132
108	30	1707.900	794.033
109	20	1735.300	797.750
110	10	1783.100	802
111	31	1775.500	810.145
112	32	1752.344	812.188
113	16	1791.250	811.125
114	34	1715.824	815.147
115	22	1686.091	821.545
116	31	1675.597	841.823
117	23	1778.804	847.761
118	9	1745.500	852.500
119	29	1787.397	858.776
120	5	1750.500	860.700
121	25	1731.180	867.460
122	14	1790.929	879.929
123	28	1759.143	882.500
124	27	1700.833	891.759
125	34	1742.706	904.559
126	39	1674.218	907.167
127	25	1769.900	926.260
128	11	1713.409	927.227
129	18	1747.111	931.778
130	35	1677.500	939.271
131	28	1740.036	949.071
132	6	1740.833	955.833
133	11	1773.500	969.227
134	17	1747.029	980.324
135	36	1748.611	987.444
136	39	1673.218	1000.474
137	25	1766.820	1001.100
138	43	1705.570	1001.942
139	43	1673.547	1033.151
140	13	1755.885	1042.885
141	26	1636.154	1060
142	35	1699.214	1068.557
143	19	1671.658	1069.605
144	29	1730.328	1074.534
145	47	1708.564	1085.436
146	9	1659.611	1082.833
147	7	1640.214	1089.500
148	27	1646.093	1099.463
149	13	1732.038	1105.038
150	20	1742.400	1106.500
151	24	1738.125	1114.583
152	34	1655.971	1115.794
153	17	1619.206	1119.265
154	32	1628.625	1144.125
155	9	1739.500	1145.611
156	50	1691.340	1148.220
157	42	1644.762	1192.238
158	23	1692.500	1196.978
159	32	1666.531	1199.406
160	27	1704.833	1204.241
161	7	1601.214	1208.643
162	29	1626.638	1218.155
163	6	1672	1225.500
164	30	1597.167	1237.100
165	24	1599.250	1248.708
166	29	1712.672	1253.776
167	34	1619.706	1259.471
168	10	1659.700	1265.600
169	37	1684.311	1270.446
170	29	1613.707	1287.259
171	37	1640.797	1290.176
172	11	1697.500	1288.500
173	16	1709.750	1296.938
174	35	1658.843	1307.900
175	13	1599.346	1320.115
176	13	1684.192	1324.885
177	23	1653.065	1326.761
178	29	1617.845	1333.845
179	18	1611.111	1351.778
180	11	1696.682	1364.500
181	31	1616.177	1371.145
182	36	1666.750	1371.722
183	18	1636.611	1378.222
184	7	1589.643	1383.929
185	23	1570.457	1395.674
186	37	1643.500	1402.635
187	7	1597.500	1403.214
188	7	1570.357	1420.500
189	4	1675.250	1435.250
190	43	1625.267	1439.547
191	29	1590.397	1453.431
192	10	1649.900	1456.600
193	30	1601.600	1458.200
194	34	1666.324	1461.794
195	27	1603.167	1500.019
196	32	1585.219	1509.750
197	26	1616.308	1523.115
198	14	1661.286	1526.714
