 	Area	X	Y
1	3124402	1027.638	768.269
2	4	506	623.500
3	4	508.250	628.250
4	4	509	631
5	4	492.750	638.750
6	7	509.214	653.357
7	6	503.500	654
8	4	485.500	655.250
9	6	477.500	658.667
10	19	467.974	662.974
11	7	512.214	684.786
12	4	507.750	696.500
13	4	514	699
14	4	514.500	703.250
15	14	492.214	706
16	6	508	706
17	47	509.968	713.415
18	6	491.167	715.667
19	19	514.763	720.605
20	6	501.500	720.667
21	4	489	722.500
22	5	510.500	725.100
23	9	465.389	733.500
24	4	492	733.250
25	11	445.955	737.682
26	7	464.500	737.929
27	7	526.643	737.929
28	6	471.500	739.833
29	8	521.125	739.375
30	9	463.278	742.944
31	4	522	742.500
32	11	528.773	744.500
33	7	442.500	746.929
34	5	447.500	747.700
35	5	523.500	746.500
36	4	459.250	750.500
37	6	481.667	753
38	6	443.167	753.167
39	6	473.667	754.833
40	17	448.559	757.853
41	4	491.500	756.250
42	14	453.143	760.143
43	12	535.333	760.417
44	11	546.045	763.045
45	4	513.500	767.250
46	4	518	770.750
47	5	453.700	776.100
48	5	517.900	776.300
49	4	516.250	779.750
50	4	448.750	783.750
51	8	515.250	783.750
52	34	440.382	786.735
53	6	518.500	790.667
54	4	437.750	792
55	10	524.600	797.800
56	10	518.100	802.500
57	5	519.100	808.500
58	7	530.357	808.357
59	5	519.900	827.700
60	4	523.500	829.500
61	4	529	833
