 	Area	X	Y
1	13	404.269	9.346
2	14	311.286	15.286
3	12	366.167	21.417
4	29	445.879	23.086
5	39	394.936	27.936
6	20	362.950	29.850
7	29	307.845	36.569
8	8	436.375	34.875
9	23	317.283	38.978
10	8	353.750	57.625
11	32	360.781	75.594
12	22	319.636	82.500
13	19	298.500	88.500
14	30	371	93.033
15	18	310.889	99.778
16	44	402	106.705
17	39	310.910	112.013
18	21	334.548	123.262
19	39	342.654	128.551
20	38	368.553	138.842
21	4	365	156
22	29	414.293	170.534
23	37	296.014	172.824
24	30	353.367	173.100
25	37	313.122	174.500
26	32	372.375	176
27	28	334.714	192.821
28	15	384.433	193.233
29	38	315.684	206.421
30	24	393.750	206.583
31	6	288.500	210.833
32	22	374.955	212.136
33	9	335.167	211.389
34	24	351.875	213.792
35	26	295.615	224.615
36	31	407.113	235.952
37	5	390.900	252.700
38	40	279.675	256.775
39	38	354.895	258.316
40	34	399.118	263.676
41	37	330.203	273.635
42	21	388.881	275.024
43	35	303.643	297.300
44	22	398.636	298.727
45	16	265	304.312
46	27	336.944	305.167
47	13	404.731	309.577
48	14	310.429	315.071
49	22	262.409	318.136
50	62	330.935	322.242
51	30	269	337.733
52	7	376.357	343.071
53	18	287.389	344.611
54	16	263.938	360.938
55	52	365.038	362.673
56	26	273.269	362.154
57	19	314.711	374.447
58	12	279.750	375.583
59	27	327.796	378.944
60	10	387.900	380
61	26	320.846	409.385
62	31	360.339	416.403
63	34	347.382	420.559
64	33	384.409	423.379
65	34	286.029	440.765
66	48	265.250	443.521
67	41	329.549	448.720
68	7	355.500	449.500
69	37	261.392	473.932
70	36	300.944	477.083
71	7	371.786	479.500
72	27	284.130	492.833
73	40	349.225	498.125
74	19	307.711	512.289
75	43	267.942	519.965
76	35	323.071	530.929
77	46	350.022	539.522
78	17	362.029	543.912
79	39	274.987	568.782
80	36	237.889	578.250
81	40	297.175	591.025
82	35	318.129	591.757
83	38	355.842	593.500
84	11	338.409	599.136
85	31	307.629	612.081
86	36	237.611	619.083
87	19	265.447	618.921
88	34	280	638.412
89	39	226.090	650.859
90	20	279.250	651.550
91	11	348.682	660.955
92	41	294.134	667.549
93	27	328.833	668.352
94	20	314	669.150
95	5	284.100	678.100
96	21	288.071	690.595
97	6	343.333	692.167
98	66	330.985	699.242
99	33	216.288	699.288
100	35	250.671	701.214
101	16	220.438	715.062
102	9	249.944	720.944
103	34	327.941	727.235
104	9	308.389	735.389
105	34	238.176	740.559
106	37	283.014	743.500
107	29	321.224	752.155
108	31	245.919	754.274
109	9	277.278	754.056
110	13	233.115	758.577
111	35	220.871	767.243
112	8	260.500	770
113	33	258.742	779.712
114	32	205.281	780.750
115	23	188.500	807.891
116	4	195.500	805.500
117	19	197.026	819.921
118	46	230.370	822.609
119	32	295	833.250
120	33	251.167	838.470
121	10	272.900	837.500
122	30	240.200	867.333
123	30	279.600	870.233
124	36	269.444	878.806
125	18	195.667	879.500
126	32	211.250	884.500
127	34	177.294	899.735
128	27	211.796	901.907
129	16	248.812	900.312
130	15	222.233	902.100
131	25	296.900	907.140
132	23	307.065	914.370
133	4	177.500	913.250
134	28	259.893	915.464
135	25	278.020	929.700
136	25	295.180	932.020
137	33	186.106	933.015
138	32	237.500	942.312
139	13	287.808	945.577
140	27	181.685	950.204
141	36	165.389	955.250
142	27	181.463	975.796
143	46	230.326	978.457
144	26	258.269	987.731
145	23	206.196	990.891
146	36	290.222	1001.639
147	11	240.318	1001.682
148	38	273.211	1003.342
149	27	155.315	1015.389
150	18	169.222	1022.111
151	14	148.643	1026.500
152	33	232.076	1031.955
153	24	177.292	1057.750
154	9	244.944	1059.944
155	18	282.944	1067.889
156	12	272.250	1068.417
157	8	163	1069
158	33	238.682	1075.197
159	23	183.326	1076.500
160	24	161.792	1083.792
161	28	212.107	1085.964
162	28	196.429	1089.857
163	22	265.818	1093
164	15	217.300	1097.167
165	28	222.571	1102.893
166	26	270.346	1103.115
167	41	157.524	1116.329
168	23	199.022	1121.587
169	28	238.821	1123
170	14	212.500	1136.714
171	24	252.083	1142.792
172	28	176.857	1144.607
173	12	270.750	1148.167
174	17	225.088	1155.382
175	25	154.020	1159.500
176	24	146.833	1161.042
177	24	129.375	1175.167
178	35	173.986	1181.900
179	15	200.567	1189.367
180	21	179.976	1192.595
181	31	241.306	1201.984
182	12	157.833	1205.750
183	32	150.688	1218.469
184	12	259.333	1217.250
185	25	204.500	1224.020
186	31	220.984	1229.758
187	16	114.438	1238.875
188	26	176.923	1239.808
189	32	149.500	1248.406
190	22	248.500	1249
191	32	211.688	1257.312
192	23	231.674	1258.065
193	38	133.579	1261.526
194	17	184.971	1269.382
195	7	194.929	1287.214
196	5	116.100	1288.300
197	13	208.115	1291.962
198	22	221.909	1293.136
199	184	111.500	1308.500
200	184	130.500	1308.500
201	7	238.500	1300.357
202	133	158.267	1310.778
203	195	181.285	1310.869
204	4	245	1311
205	11	197.318	1313.227
206	23	216.848	1325.283
207	7	129.214	1328.929
208	38	185.158	1334.816
209	25	102.860	1335.540
210	603	167.871	1350.843
211	25	204.060	1359.860
212	34	122.500	1366.471
213	23	207.891	1387.717
214	24	184.417	1390.542
215	22	230.909	1391
216	49	157.255	1393.929
217	34	105.853	1398.912
218	20	207.600	1423.600
219	22	187.500	1426.273
220	24	112.375	1427.542
221	19	168.921	1428.395
222	19	191.868	1439.711
223	37	100.662	1442.392
224	32	157.406	1442.750
225	19	202.816	1444.395
226	26	143.462	1455
227	15	100.900	1460.167
228	32	167.375	1467.531
229	37	214.662	1470.770
230	22	77.818	1471.545
231	5	106.100	1479.300
232	14	118.286	1481.071
233	32	141.125	1492.781
234	40	112.875	1498.950
235	22	212.773	1503.909
236	44	85.364	1509.977
237	4	190.500	1512.250
238	34	165.529	1517.118
