 	Area	X	Y
1	39	1988.397	29.987
2	13	1947.192	34.269
3	35	2032.843	38.100
4	36	1933.167	43.139
5	28	2002.679	43.607
6	33	2025.076	45.258
7	45	1964.144	61.744
8	33	1951.470	86.833
9	35	1994.643	111.414
10	29	2020.603	118.638
11	39	2038.910	119.500
12	10	1944.900	119.800
13	12	1955	122
14	23	1913.326	124.283
15	8	1921.250	123.750
16	41	1985.817	132.744
17	40	2004.225	135.175
18	41	1921.646	145.329
19	9	1950.056	174.722
20	15	1946.567	183.633
21	43	1969.058	188.640
22	23	1935.978	191.457
23	36	1926.306	198.111
24	22	2012.227	201.818
25	37	1996.959	218.338
26	17	1965.735	219.029
27	36	1978	228
28	7	1993.214	235.643
29	4	1901.750	239.500
30	27	1909.352	247.315
31	13	1971.808	255.654
32	22	1924.136	264.182
33	31	2007.532	267.081
34	18	1908.889	267.944
35	22	1984.591	270.409
36	18	1944.722	286.778
37	26	1916.346	295.115
38	27	1906.241	310.833
39	34	1956.529	313.559
40	24	1917.042	315.167
41	42	1987.952	317.071
42	23	1942.109	319.935
43	17	1919.794	331.676
44	36	1924	349.500
45	5	1963.500	350.100
46	24	1892.875	361.833
47	35	1965.043	363.100
48	21	1935.548	366.500
49	26	1880.231	377.423
50	13	1962.423	381.731
51	18	1976.389	389
52	23	1910.109	395.196
53	37	1858.527	411.770
54	45	1975.456	412.900
55	5	1924.900	412.700
56	9	1918.833	414.167
57	39	1932.551	417.372
58	5	1949.300	420.700
59	5	1902.300	423.900
60	9	1858.500	425.500
61	21	1884.071	429.167
62	4	1934.750	436.500
63	26	1914.962	440.192
64	12	1858.417	460.083
65	28	1851.571	465.107
66	16	1896.750	465.438
67	7	1904.643	464.929
68	4	1862.250	480.500
69	33	1920.409	493.015
70	45	1958.878	493.078
71	32	1930.938	505.156
72	29	1838.293	514.466
73	37	1866.878	515.311
74	6	1924.833	516.833
75	45	1938.611	541.633
76	22	1880.727	559.227
77	42	1902.452	560.667
78	19	1889.447	563.921
79	28	1840.607	569
80	31	1885.468	589.758
81	13	1821.192	590.731
82	35	1845.329	592.529
83	20	1906	597.950
84	37	1941.770	615.878
85	40	1883.100	617.025
86	26	1820.115	630.115
87	23	1926.109	634.587
88	34	1853.029	638.088
89	24	1860.417	638.750
90	19	1822.868	640.868
91	40	1904.550	650.950
92	27	1841.093	654.426
93	33	1909.864	667.833
94	54	1807.648	688.870
95	13	1874.885	686.808
96	15	1927.433	695.100
97	40	1852.650	701.800
98	30	1803.033	715.300
99	40	1892.125	731.050
100	8	1890.250	737.750
101	22	1917.500	741.773
102	27	1811.500	744.019
103	35	1856.729	747.100
104	49	1867.153	753.378
105	9	1910.833	781.611
106	17	1889.735	782.794
107	32	1834.750	811.188
108	40	1802.350	823.600
109	39	1776.885	826.141
110	21	1834.214	835.405
111	40	1862.600	837
112	25	1843.500	839.340
113	25	1871.660	873.980
114	51	1837.931	887.029
115	20	1869.450	891.500
116	24	1785.292	895.042
117	25	1769.580	896.380
118	19	1800.553	911.447
119	6	1756.333	914.833
120	16	1780.438	926.750
121	16	1759	931
122	38	1813.526	935.211
123	21	1762.643	946.690
124	40	1845.300	949.600
125	38	1862.868	951.526
126	12	1781.583	951.167
127	26	1802.577	952.423
128	6	1810.333	955.500
129	25	1825.780	992.660
130	23	1755.543	997.109
131	37	1809.311	999.068
132	21	1827.167	1001.976
133	15	1772.433	1007.833
134	23	1777.500	1022.717
135	28	1853.286	1030.500
136	4	1828.500	1032.750
137	22	1786.818	1041.318
138	17	1853.971	1043.324
139	27	1795.796	1053.981
140	32	1748.250	1059.469
141	18	1755.722	1062.944
142	7	1838.214	1068.786
143	5	1771.500	1076.300
144	16	1827.188	1078.500
145	47	1760.266	1081.011
146	30	1802	1081.033
147	41	1840.183	1107.159
148	34	1800.382	1111.588
149	7	1743.357	1134.214
150	41	1743.329	1147.232
151	39	1812.962	1153.679
152	35	1775.843	1165.471
153	58	1830.466	1169.845
154	10	1704	1183.600
155	25	1739.020	1187.060
156	40	1737.100	1194.750
157	42	1779.024	1201.238
158	40	1825.600	1203.075
159	15	1713.367	1210.700
160	21	1785.452	1248.024
161	5	1762.900	1259.100
162	26	1722.615	1262.654
163	34	1749.912	1275.882
164	14	1692.143	1276.429
165	29	1807.534	1278.155
166	5	1814.100	1277.500
167	45	1716.300	1283.656
168	17	1751.559	1290.500
169	9	1790.833	1298.944
170	23	1741.065	1301.109
171	13	1765.423	1321.423
172	15	1789.700	1321.633
173	27	1708.278	1340.093
174	31	1759.371	1340.500
175	31	1798.177	1349.403
176	16	1674.875	1355.438
177	37	1695.824	1358.959
178	28	1715.071	1362.429
179	18	1722.611	1361.667
180	19	1788.026	1361.974
181	30	1738.033	1380
182	39	1756.167	1387.244
183	37	1698.338	1406.797
184	40	1747.575	1432.100
185	10	1718.700	1435.100
186	25	1751.380	1444.180
187	4	1652.500	1444
188	30	1680.367	1448.967
189	21	1716.929	1449.643
190	12	1695	1461.167
191	4	1773.500	1466
192	34	1700.794	1473.147
193	29	1770.914	1475.776
194	27	1743.426	1477.574
195	30	1648.133	1479.900
196	16	1727.562	1483.438
197	38	1747.447	1504.605
198	21	1649.500	1504.357
199	36	1685.417	1509.806
200	29	1661.914	1517.397
201	16	1638.688	1519.125
202	13	1723.115	1519.269
