 	Area	X	Y
1	22	1154.227	13.182
2	21	1134.452	14.071
3	18	1169.944	16.278
4	30	1087	30.700
5	4	1119	41
6	30	1130.667	43.233
7	20	1102.350	53.850
8	33	1078.076	62.682
9	4	1061.500	70
10	41	1143.451	94.207
11	35	1057.329	94.957
12	15	1119.767	108.633
13	28	1136.107	111
14	32	1080.719	122.781
15	37	1131.986	135.959
16	36	1041.639	136.417
17	28	1050.321	146.107
18	4	1022.750	154.500
19	26	1138.077	169.192
20	30	1074.200	178.600
21	32	1129.531	180.562
22	28	1116.107	181.536
23	17	1087.029	192.912
24	15	1061.967	194.033
25	15	1079.100	198.100
26	4	1126	204
27	27	1098.611	208.204
28	8	1119.750	207.875
29	42	1063.714	225.762
30	37	1030.284	224.419
31	13	1045.115	232.885
32	41	1007.866	250.110
33	31	1026.210	267.661
34	40	1077	275.750
35	15	1111.367	277.900
36	6	1120	277
37	4	1039.500	284.250
38	29	1106.707	291.638
39	15	1029.500	300.433
40	42	1032.310	321.833
41	14	1008.571	323.143
42	31	1110.210	330.758
43	8	982	338.500
44	23	1081.457	342.717
45	37	985.068	351.743
46	32	1062.938	369.344
47	37	1094.770	369.581
48	17	1003.912	380.147
49	20	1034.950	382.750
50	32	1023.906	385.250
51	32	985.156	399.188
52	38	1072.789	405.184
53	24	1001.917	414.708
54	6	1057.667	416.333
55	24	1051	431.250
56	20	988.250	433.800
57	5	1001.300	441.100
58	13	1088.346	449.654
59	16	1057	450.438
60	10	1006.500	451
61	38	1044.421	462.632
62	20	1065.300	475.750
63	31	981.952	482.919
64	19	1048.605	503.868
65	36	1074.278	510.278
66	13	946.269	526.500
67	16	1004.250	525.938
68	32	987.062	529.625
69	23	1029.804	529.848
70	13	956.423	530.192
71	31	960.468	548.984
72	24	1050.542	567.208
73	40	996.600	569.425
74	31	955.758	578.500
75	42	1043.095	588.976
76	19	954.342	603.658
77	5	971.100	602.700
78	23	946.283	613.109
79	34	974.206	626.765
80	25	993.020	631.100
81	35	995.986	658.586
82	31	949.081	667.081
83	16	1042.625	670.312
84	40	964.450	685.200
85	23	1018.543	686.935
86	26	1003.654	703.269
87	12	908.500	713.750
88	26	1032.577	718.962
89	19	926.500	724.026
90	14	960.071	723.214
91	30	975.633	736.333
92	18	934.944	736.667
93	27	952.352	745.204
94	27	912.352	753.870
95	17	1028.618	753.265
96	30	916.533	774.400
97	29	972.431	778.155
98	27	958.278	779.648
99	25	1009.060	786.140
100	7	903.929	791.786
101	18	892.500	801.833
102	6	906.333	808.333
103	18	974.056	810.389
104	38	943.974	817.553
105	20	957.600	826.450
106	8	935	842.375
107	34	915.647	852.765
108	32	1003.188	852.656
109	23	883.283	857.674
110	39	939.808	874.782
111	11	900.409	878.500
112	40	990.675	881.900
113	30	896.200	883.800
114	16	955.188	895.375
115	22	871.636	912.773
116	43	970.570	921.244
117	12	980.583	935
118	35	874.986	950.929
119	36	895.778	954.083
120	34	937.235	958.500
121	6	983.667	956.333
122	43	910.453	975.756
123	6	966.667	975.333
124	28	978.143	981.679
125	15	936.500	990.433
126	24	944.292	997.792
127	13	960.115	999.115
128	39	864.346	1006.141
129	18	942.389	1014.500
130	13	966.346	1016.038
131	23	930.022	1031.935
132	36	885.806	1033.778
133	17	947.912	1048.618
134	17	962.853	1055.559
135	21	906.976	1059.738
136	7	851.929	1065.214
137	6	936.500	1069.167
138	26	965.038	1074.577
139	6	912	1082.500
140	35	883.843	1092.900
141	23	927.370	1092.065
142	4	919	1100
143	30	935.933	1102.667
144	8	847.750	1115.125
145	32	908.875	1122.875
146	27	867.500	1123.944
147	25	840.220	1127.420
148	18	871.500	1135.833
149	34	840.206	1146.382
150	23	896.630	1155.283
151	29	887.707	1167.052
152	20	863.950	1192.450
153	20	848	1193.500
154	17	928.206	1196.618
155	24	823.792	1197.125
156	25	901.220	1201.420
157	42	933.905	1211.238
158	29	867.776	1218.914
159	34	837.794	1223.735
160	22	927.773	1223.045
161	10	894.400	1228.700
162	28	877.750	1231.500
163	8	934.500	1229.625
164	11	803.955	1249.864
165	24	861.375	1255.167
166	16	919.625	1256.500
167	5	915.300	1263.900
168	14	806.286	1265.429
169	26	890.269	1266.423
170	24	925.625	1277.833
171	14	797.429	1284.643
172	30	819.467	1301.367
173	24	800.833	1312.542
174	11	863.864	1312.682
175	33	900.652	1322.106
176	38	876.289	1325.605
177	11	914.773	1335.591
178	32	854.156	1338.031
179	28	828.571	1340.536
180	21	857.929	1364.071
181	14	880.357	1366.571
182	27	894.056	1383.241
183	26	822.077	1385.654
184	36	883.250	1401.500
185	30	777.700	1402.733
186	5	827.300	1412.100
187	36	867.056	1426.111
188	11	767.955	1433.318
189	40	805.775	1438.675
190	24	833.500	1455.292
191	9	818.833	1462.611
192	17	779.206	1480.088
193	32	827.719	1482.906
194	23	804.239	1489.326
195	38	877.474	1492.632
196	28	833.679	1497.679
197	35	758.300	1498.786
198	35	826.529	1517.957
