 	Area	X	Y
1	15	341.700	7.500
2	11	360.318	8.409
3	15	435.433	12.900
4	19	386.921	17.553
5	15	313.100	19.833
6	28	365.857	22.286
7	35	413.157	29.986
8	26	324.115	37.885
9	35	345.243	47.500
10	8	325.125	47
11	39	395.064	62.141
12	6	300.667	67.167
13	4	419.250	71
14	37	357.365	77.203
15	4	316.750	78.500
16	23	421.152	83.587
17	27	296.759	84.019
18	17	370.147	101.559
19	40	338.875	110.700
20	34	304.265	116.529
21	22	374.409	123.409
22	21	308.738	134.357
23	25	320.620	135.460
24	29	404.397	142.707
25	36	355.056	159.444
26	42	283.262	160.786
27	20	400.150	178.100
28	41	389.183	179.695
29	46	319.391	181.783
30	29	279.603	208.155
31	5	316.300	211.900
32	42	344.452	226.619
33	46	293.413	250.152
34	40	368.650	249.625
35	30	320.033	250.833
36	4	259.750	258.500
37	30	355.400	275.100
38	26	258.231	275.885
39	32	302.062	297.438
40	28	266.250	304.214
41	32	302.750	308.125
42	33	331.227	311.167
43	18	269.389	311.056
44	28	352.464	318.107
45	37	364.257	332.635
46	14	243.500	345.643
47	22	348.318	360.773
48	22	251.500	365.591
49	13	324.192	365.500
50	49	310.949	376.643
51	30	255.400	379.300
52	29	363.741	379.121
53	36	265.111	394.222
54	25	294.460	414.940
55	31	270.855	426.694
56	15	246.233	426.700
57	13	258.192	434.269
58	40	322.400	447.075
59	34	269.735	462.971
60	8	263.125	477.750
61	35	326.814	479.929
62	19	315.868	479.763
63	25	289.900	493.500
64	39	223.372	498.551
65	20	312.100	497.050
66	21	277.786	503.357
67	20	334.400	508.800
68	41	239.427	524.817
69	25	288.340	538.700
70	37	325.851	549.338
71	42	220.095	561.810
72	37	303.392	566.716
73	41	260.012	569.085
74	24	243.750	570.833
75	6	324	569.833
76	30	231.233	599.367
77	35	265.557	600.329
78	28	294.036	598.607
79	23	309.239	611.543
80	26	295.654	628.038
81	18	234.833	630.333
82	4	254.500	651
83	24	296.458	654.875
84	45	187.100	667.589
85	36	229.972	666.694
86	22	305.545	677.318
87	37	259.014	681.662
88	31	206.274	696.919
89	22	229.227	703.182
90	31	268.855	706.339
91	16	226.312	715.938
92	40	215.250	742.500
93	23	281.065	747.674
94	41	267.744	761.598
95	5	243.900	763.700
96	25	189.500	766.820
97	42	184.381	772.571
98	28	256.357	773.786
99	15	273.767	778.167
100	21	212.976	790.643
101	17	257.265	802.441
102	31	161.274	809.177
103	10	153.100	814.600
104	12	261.333	816.167
105	6	181.167	819
106	18	152.111	822.222
107	9	242.611	826.833
108	26	254.731	831.385
109	31	190.984	838.048
110	49	216.847	839.663
111	4	270.750	837.750
112	14	234.143	868.571
113	44	233.114	876.955
114	7	149.071	896.643
115	28	161.750	898.679
116	4	190.750	898.250
117	26	171.308	902.346
118	20	227	913.900
119	37	178.635	921.824
120	5	258.700	925.500
121	36	227.139	935.500
122	48	163.083	959.958
123	24	241.167	960.167
124	30	149.133	975.167
125	21	246.929	979.405
126	16	163.938	981.125
127	20	119.700	989.250
128	19	219.026	991.921
129	35	234.814	998.357
130	14	188.857	998.714
131	16	166.688	1002.875
132	26	181.038	1016.808
133	21	160.690	1018.357
134	28	133.571	1037.107
135	25	200.300	1041.740
136	29	182.983	1049.397
137	34	220.765	1058.941
138	39	156.321	1060.064
139	21	182.310	1065.881
140	27	168.833	1069.241
141	27	168.574	1089.944
142	4	200	1088
143	46	123.152	1111.913
144	39	168.295	1138.141
145	35	203.100	1148.871
146	34	97.765	1161.235
147	9	184.722	1166.611
148	58	122.017	1172.914
149	18	167.333	1179.056
150	20	193.850	1185
151	27	80.315	1194.574
152	38	177.289	1204.868
153	6	96.333	1210.333
154	37	133.878	1215.365
155	31	159.565	1224.694
156	25	116.220	1227.580
157	38	192.237	1234.737
158	42	125.833	1257.190
159	53	93.311	1275.764
160	38	183.184	1276.553
161	10	141.800	1297.300
162	42	128.548	1303.143
163	10	177.500	1308.100
164	4	65.250	1308.250
165	34	160.941	1318.735
166	17	98.265	1328.853
167	26	165.154	1328.962
168	13	64.654	1339.115
169	25	104.420	1344.060
170	29	154.259	1344.224
171	31	162.016	1352.790
172	30	95	1358.533
173	4	51.500	1358
174	31	113.113	1364.629
175	36	72.583	1368.417
176	12	79.667	1375.500
177	18	109.056	1385.389
178	36	46	1387.778
179	23	56.196	1402.370
180	29	106.086	1403.948
181	7	105.643	1436.786
182	40	141.150	1447.375
183	36	49.806	1455.889
184	34	68.176	1455.412
185	27	122.426	1455.426
186	32	121.156	1471.781
187	12	151.667	1472.667
188	39	73.577	1478.372
189	19	80.763	1478.184
190	22	44.409	1485.364
191	14	84.429	1487.143
192	21	114.548	1489.500
193	31	34.661	1508.435
194	19	85.342	1526.500
