 	Area	X	Y
1	7	348.071	8.214
2	41	424.402	13.134
3	26	374.346	16.885
4	25	470.860	17.500
5	32	353.406	21.719
6	39	400.782	29.295
7	40	451.900	49.600
8	42	382.929	61.381
9	35	345.414	76.614
10	35	456.214	76.757
11	37	409.338	83.122
12	43	439.593	100.174
13	19	358.289	100.921
14	18	328.722	110.333
15	22	362.227	122.636
16	41	414.159	130.061
17	31	391.984	142.274
18	36	343.389	158.667
19	39	434.628	163.859
20	5	400.300	165.100
21	26	388.462	177.423
22	42	377.214	179
23	14	409.143	179.571
24	28	416.786	188.750
25	21	400.881	205.976
26	42	386.643	224.357
27	46	332.478	225.587
28	47	356.649	248.649
29	34	308.265	250.118
30	35	384.786	258.557
31	34	414.706	259.412
32	36	343.500	274.667
33	27	376.167	280.611
34	28	400.821	284.786
35	25	408.820	285.060
36	8	292	297
37	28	291.464	307.679
38	27	416.870	308.537
39	35	319.186	310.500
40	34	340.735	317.382
41	37	352.500	331.608
42	27	406.759	331.574
43	25	336.580	359.860
44	14	312.571	364.500
45	46	299.283	375.391
46	40	391.675	375.050
47	39	353.115	378.654
48	25	361.300	392.980
49	12	355.333	400.333
50	5	365.900	411.300
51	31	282.952	413.919
52	13	390.808	423.500
53	46	310.435	446.348
54	43	354.477	452.221
55	11	260.227	462.773
56	27	373.426	462.167
57	31	381.661	472.565
58	20	304.750	478.750
59	40	315.275	479.275
60	30	350.800	485.400
61	32	278.281	492.531
62	19	300.974	496.342
63	21	266.452	502.310
64	6	356.333	500.667
65	24	323.083	508.167
66	36	277.472	537.944
67	40	314.500	548.550
68	43	292.198	566.058
69	41	248.793	567.817
70	10	312.800	569.300
71	7	364.357	583.071
72	34	282.794	597.853
73	45	254.256	599.300
74	35	357.443	609.357
75	36	326.167	611.167
76	25	298.060	610.700
77	29	284.741	627.397
78	35	349.014	640.843
79	33	316.197	648.621
80	30	285.233	654.100
81	16	347.250	665
82	12	221	666.333
83	28	295.071	677.250
84	45	248.233	680.833
85	4	273	696.500
86	19	218.079	702.237
87	42	258.429	706
88	41	295.037	714.085
89	12	215	714.833
90	14	328.143	738.857
91	12	206.333	742.250
92	24	270.042	746.917
93	42	257	760.476
94	20	307.600	762
95	6	234.167	762.667
96	29	245.362	773.121
97	17	262.853	777.441
98	35	312.357	786.157
99	24	202.333	789.375
100	18	246.278	802.056
101	37	273.365	807.932
102	13	250.346	815.885
103	35	292.957	826.986
104	9	231.944	826.389
105	34	244.235	830.529
106	50	206.320	838.940
107	9	315.167	837.167
108	9	260.167	837.611
109	18	266.500	846.500
110	47	280.500	868.628
111	58	222.983	874.276
112	42	292.952	897.333
113	21	216.643	913.405
114	7	171.214	921.500
115	32	250.781	925.344
116	37	216.905	934.716
117	15	274.767	937.767
118	29	230.776	959.362
119	38	237.474	978.816
120	7	271.214	976.357
121	21	280.786	990.548
122	18	209	991.500
123	38	262.579	992.526
124	42	224.524	997.619
125	18	178.611	998.444
126	9	156.833	1001.500
127	34	171.059	1015.676
128	21	245.595	1030.929
129	44	264.500	1037.341
130	28	190.286	1041.179
131	33	173.015	1048.348
132	35	146.414	1059.386
133	32	210.750	1058.094
134	15	225.233	1062.700
135	21	172.310	1064.881
136	32	158.469	1068.531
137	33	229.136	1070.530
138	32	158.344	1089.656
139	4	243.500	1099
140	11	259.591	1122.136
141	44	158.273	1137.545
142	40	192.750	1148.450
143	38	208.842	1157.447
144	6	175.167	1165.667
145	23	156.935	1178.804
146	17	183.500	1184.735
147	20	243.450	1186.200
148	27	213.204	1196.167
149	44	166.932	1204.432
150	33	239.439	1203.288
151	47	123.564	1214.798
152	32	149.438	1224.438
153	14	209.643	1227.429
154	39	181.910	1233.782
155	38	115.500	1255.921
156	42	172.857	1275.595
157	7	228.929	1280.786
158	38	189.211	1295.579
159	8	131.500	1297
160	46	118.543	1302.413
161	16	167	1307.438
162	33	150.833	1318.136
163	28	197.679	1323.607
164	27	155.167	1328.204
165	19	203.132	1337.763
166	26	94.154	1343.154
167	34	144.147	1343.588
168	35	152.014	1352.357
169	6	87.167	1357.833
170	14	181.429	1357.714
171	39	102.705	1364.038
172	20	208.700	1379.400
173	28	98.607	1384.536
174	5	188.900	1396.100
175	37	95.770	1402.878
176	28	163.893	1404.643
177	37	175.095	1410.986
178	20	192.100	1410.450
179	17	192.559	1434.735
180	6	95	1436
181	44	130.864	1446.750
182	29	112.052	1454.603
183	32	192.062	1455
184	40	110.800	1470.825
185	49	143.704	1472.398
186	16	64.625	1477.500
187	25	70.500	1477.980
188	12	74.333	1485.750
189	21	104.071	1488.500
190	6	151	1506.500
191	34	182.382	1511.588
192	13	75.885	1524.808
